ts,hefei,ningbo,wenzhou,wuhan,wuxi
3795,98.3,95.16,93.46,8.93,42.57
3800,98.3,95.16,93.46,8.93,42.57
3805,98.3,95.15,93.45,8.93,42.57
3810,98.3,95.15,93.45,8.93,42.57
3815,98.3,95.14,93.45,8.93,42.56
3820,98.31,95.14,93.45,8.93,42.56
3825,98.31,95.13,93.44,8.93,42.56
3830,98.31,95.13,93.44,8.93,42.56
3835,98.31,95.12,93.44,8.93,42.56
3840,98.31,95.12,93.44,8.93,42.56
3845,98.31,95.11,93.43,8.93,42.55
3850,98.31,95.11,93.43,8.93,42.55
3855,98.31,95.1,93.43,8.93,42.55
3860,98.31,95.1,93.43,8.93,42.55
3865,98.32,95.09,93.42,8.93,42.55
3870,98.32,95.09,93.42,8.93,42.55
3875,98.32,95.08,93.42,8.93,42.55
3880,98.32,95.08,93.42,8.93,42.54
3885,98.32,95.07,93.42,8.93,42.54
3890,98.32,95.07,93.41,8.93,42.54
3895,98.32,95.06,93.41,8.93,42.54
3900,98.32,95.06,93.41,8.93,42.54
3905,98.32,95.06,93.41,8.93,42.54
3910,98.33,95.05,93.41,8.93,42.54
3915,98.33,95.05,93.4,8.93,42.54
3920,98.33,95.04,93.4,8.93,42.53
3925,98.33,95.04,93.4,8.93,42.53
3930,98.33,95.04,93.4,8.93,42.53
3935,98.33,95.03,93.4,8.93,42.53
3940,98.33,95.03,93.4,8.93,42.53
3945,98.33,95.02,93.39,8.93,42.53
3950,98.33,95.02,93.39,8.93,42.53
3955,98.33,95.02,93.39,8.93,42.53
3960,98.34,95.01,93.39,8.93,42.53
3965,98.34,95.01,93.39,8.57,42.52
3970,98.34,95.01,93.39,8.57,99.3
3975,98.34,95.0,93.38,8.57,99.3
3980,98.34,95.0,93.38,8.57,99.3
3985,98.34,94.99,93.38,8.57,99.3
3990,98.34,94.99,93.38,8.57,99.3
3995,98.34,94.99,93.38,8.57,99.3
4000,98.34,94.98,93.38,8.57,99.3
4005,98.35,94.98,93.38,8.57,99.3
4010,98.35,94.98,93.37,8.57,99.3
4015,98.35,94.97,93.37,8.57,99.3
4020,98.35,94.97,93.37,8.57,99.3
4025,98.35,94.97,93.37,8.57,99.3
4030,98.35,94.96,93.37,8.57,99.3
4035,98.35,94.96,93.37,8.57,99.3
4040,98.35,94.96,93.37,8.57,99.3
