ts,hefei,ningbo,wuhan,wuxi
3030,9.7,32.65,14.91,2.25
3035,9.7,32.65,14.91,2.25
3040,9.7,32.65,14.91,2.25
3045,9.7,32.65,14.91,2.25
3050,9.7,32.65,14.91,2.25
3055,9.7,32.65,14.91,2.25
3060,9.7,32.65,14.91,2.25
3065,9.7,32.65,14.91,2.25
3070,9.7,32.65,14.91,2.25
3075,9.7,32.65,14.91,2.25
3080,9.7,32.65,14.91,2.25
3085,9.7,32.65,14.91,2.25
3090,9.7,32.65,14.91,2.25
3095,9.7,32.65,14.91,2.25
3100,9.7,32.65,14.91,2.25
3105,9.7,32.65,14.91,2.25
3110,9.7,32.65,14.91,2.25
3115,9.7,32.65,14.91,2.25
3120,9.7,32.65,14.91,2.25
3125,9.7,32.65,14.91,2.25
3130,9.7,32.65,14.91,2.25
3135,9.7,32.65,14.91,2.25
3140,9.7,32.65,14.91,2.25
3145,9.7,32.65,14.91,2.25
3150,9.7,32.65,14.91,2.25
3155,9.7,32.65,14.91,2.25
3160,9.7,32.65,14.91,2.25
3165,9.7,32.65,14.91,2.25
3170,9.7,32.65,14.91,2.25
3175,9.7,32.65,14.91,2.25
3180,9.7,32.65,14.91,2.25
3185,9.7,32.65,14.91,2.25
3190,9.7,32.65,14.91,2.25
3195,9.7,32.65,14.91,2.25
3200,9.7,32.65,14.91,2.25
3205,9.7,32.65,14.91,2.25
3210,9.7,32.65,14.91,2.25
3215,9.7,32.65,14.91,2.25
3220,9.7,32.65,14.91,2.25
3225,9.7,32.65,14.91,2.25
3230,9.7,32.65,14.91,2.25
3235,9.7,32.65,14.91,2.25
3240,9.7,32.65,14.91,2.25
3245,9.7,32.65,14.91,2.25
3250,9.7,32.65,14.91,2.25
3255,9.7,32.65,14.91,2.25
3260,9.7,32.65,14.91,2.25
3265,9.7,32.65,14.91,2.25
3270,9.7,32.65,14.91,2.25
3275,9.7,32.65,14.91,2.25
3280,9.7,32.65,14.91,2.25
3285,9.7,32.65,14.91,2.25
3290,9.7,32.65,14.91,2.25
3295,9.7,32.65,14.91,2.25
3300,9.7,32.65,14.91,2.25
3305,9.7,32.65,14.91,2.25
3310,9.7,32.65,14.91,2.25
3315,9.7,32.65,14.91,2.25
3320,9.7,32.65,14.91,2.25
3325,9.7,32.65,14.91,2.25
3330,9.7,32.65,14.91,2.25
3335,9.7,32.65,14.91,2.25
3340,9.7,32.65,14.91,2.25
3345,9.7,32.65,14.91,2.25
3350,9.7,32.65,14.91,2.25
3355,9.7,32.65,14.91,2.25
3360,9.7,32.65,14.91,2.25
3365,9.7,32.65,14.91,2.25
3370,9.7,32.65,14.91,2.25
3375,9.7,32.65,14.91,2.25
3380,9.7,32.65,14.91,2.25
3385,9.7,32.65,14.91,2.25
3390,9.7,32.65,14.91,2.25
3395,9.7,32.65,14.91,2.25
3400,9.7,32.65,14.91,2.25
3405,9.7,32.65,14.91,2.25
3410,9.7,32.65,14.91,2.25
3415,9.7,32.65,14.91,2.25
3420,9.7,32.65,14.91,2.25
3425,9.7,32.65,14.91,2.25
3430,9.7,32.65,14.91,2.25
3435,9.7,32.65,14.91,2.25
3440,9.7,32.65,14.91,2.25
3445,9.7,32.65,14.91,2.25
3450,9.7,32.65,14.91,2.25
3455,9.7,32.65,14.91,2.25
3460,9.7,32.65,14.91,2.25
3465,9.7,32.65,14.91,2.25
3470,9.7,32.65,14.91,2.25
3475,9.7,32.65,14.91,2.25
3480,9.7,32.65,14.91,2.25
3485,9.7,32.65,14.91,2.25
3490,9.7,32.65,14.91,2.25
3495,9.7,32.65,14.91,2.25
3500,9.7,32.65,14.91,2.25
3505,9.7,32.65,14.91,2.25
3510,9.7,32.65,14.91,2.25
3515,9.7,32.65,14.91,2.25
3520,9.7,32.65,14.91,2.25
3525,9.7,32.65,14.91,2.25
3530,9.7,32.65,14.91,2.25
3535,9.7,32.65,14.91,2.25
3540,9.7,32.65,14.91,2.25
3545,9.7,32.65,14.91,2.25
3550,9.7,32.65,14.91,2.25
3555,9.7,32.65,14.91,2.25
3560,9.7,32.65,14.91,2.25
3565,9.7,32.65,14.91,2.25
3570,9.7,32.65,14.91,2.25
3575,9.7,32.65,14.91,2.25
3580,9.7,32.65,14.91,2.25
3585,9.7,32.65,14.91,2.25
3590,9.7,32.65,14.91,2.25
3595,9.7,32.65,14.91,2.25
3600,9.42,30.61,14.1,2.08
3605,9.42,30.61,14.1,2.08
3610,9.42,30.61,14.1,2.08
3615,9.42,30.61,14.1,2.08
3620,9.42,30.61,14.1,2.08
3625,9.42,30.61,14.1,2.08
3630,9.42,30.61,14.1,2.08
3635,9.42,30.61,14.1,2.08
3640,9.42,30.61,14.1,2.08
3645,9.42,30.61,14.1,2.08
3650,9.42,30.61,14.1,2.08
3655,9.42,30.61,14.1,2.08
3660,9.42,30.61,14.1,2.08
3665,9.42,30.61,14.1,2.08
3670,9.42,30.61,14.1,2.08
3675,9.42,30.61,14.1,2.08
3680,9.42,30.61,14.1,2.08
3685,9.42,30.61,14.1,2.08
3690,9.42,30.61,14.1,2.08
3695,9.42,30.61,14.1,2.08
3700,9.42,30.61,14.1,2.08
3705,9.42,30.61,14.1,2.08
3710,9.42,30.61,14.1,2.08
3715,9.42,30.61,14.1,2.08
3720,9.42,30.61,14.1,2.08
3725,9.42,30.61,14.1,2.08
3730,9.42,30.61,14.1,2.08
3735,9.42,30.61,14.1,2.08
3740,9.42,30.61,14.1,2.08
3745,9.42,30.61,14.1,2.08
3750,9.42,30.61,14.1,2.08
